GENEID	GENENAME	GENEDESCRP	METABOLIC
YJL039C	NUP192	NUclear Pore	NA
YLR335W	NUP2	NUclear Pore	NA
YDR192C	NUP42	NUclear Pore	NA
YGL172W	NUP49	NUclear Pore	NA
YMR153W	NUP53	NUclear Pore	NA
YGR119C	NUP57	NUclear Pore	NA
YAR002W	NUP60	NUclear Pore	NA
YJL061W	NUP82	NUclear Pore	NA
YDL116W	NUP84	NUclear Pore	NA
YJR042W	NUP85	NUclear Pore	NA
YDL089W	NUR1	NUclear Rim1	NA
YDL193W	NUS1	Nuclear Undecaprenyl pyrophosphate Synthase	NA
YGL151W	NUT1	Negative regulation of URS Two	NA
YPR168W	NUT2	Negative regulation of URS Two	NA
YHR195W	NVJ1	Nucleus-Vacuole Junction	NA
YPR091C	NVJ2	Nucleus-Vacuole Junction	NA
YDR179W-A	NVJ3	Nucleus-Vacuole Junction	NA
YLR093C	NYV1	New Yeast V-SNARE	NA
YKL120W	OAC1	OxaloAcetate Carrier	Yeast7.6
YAL051W	OAF1	Oleate-Activated transcription Factor	NA
YKR064W	OAF3	Oleate Activated transcription Factor	NA
YKL055C	OAR1	3-Oxoacyl-[Acyl-carrier-protein] Reductase	Yeast7.6
YPL052W	OAZ1	Ornithine decarboxylase AntiZyme	NA
YNL099C	OCA1	Oxidant-induced Cell-cycle Arrest	NA
YNL056W	OCA2	Oxidant-induced Cell cycle Arrest	NA
YCR095C	OCA4	Oxidant-induced Cell-cycle Arrest	NA
YHL029C	OCA5	Oxidant-induced Cell-cycle Arrest	NA
YDR067C	OCA6	Oxidant-induced Cell-cycle Arrest	NA
YGL038C	OCH1	Outer CHain elongation	NA
YPL134C	ODC1	OxoDicarboxylate Carrier	Yeast7.6
YOR222W	ODC2	OxoDicarboxylate Carrier	Yeast7.6
YML060W	OGG1	8-OxoGuanine Glycosylase/lyase	NA
YGR179C	OKP1	Outer Kinetochore Protein	NA
YBR025C	OLA1	Obg-Like ATPase	NA
YGL055W	OLE1	OLEic acid requiring	Yeast7.6
Q0130	OLI1	OLIgomycin resistance	Yeast7.6
YBR230C	OM14	Outer Membrane Protein of 14 kDa	NA
YIL136W	OM45	Outer Membrane	NA
YKR087C	OMA1	Overlapping activity with M-AAA protease	NA
YDR316W	OMS1	OXA1 Multicopy Suppressor	NA
YHL020C	OPI1	OverProducer of Inositol	NA
YOL032W	OPI10	OverProducer of Inositol	NA
YPR044C	OPI11	OverProducer of Inositol	NA
YJR073C	OPI3	OverProducer of Inositol	Yeast7.6
YDL096C	OPI6	OverProducer of Inositol	NA
YDR360W	OPI7	OverProducer of Inositol	NA
YKR035C	OPI8	OverProducer of Inositol	NA
YLR338W	OPI9	OverProducer of Inositol	NA
YJL212C	OPT1	OligoPeptide Transporter	Yeast7.6
YPR194C	OPT2	OligoPeptide Transporter	NA
YBR129C	OPY1	Overproduction-induced Pheromone-resistant Yeast	NA
YPR075C	OPY2	Overproduction-induced Pheromone-resistant Yeast	NA
YML065W	ORC1	Origin Recognition Complex	NA
YBR060C	ORC2	Origin Recognition Complex	NA
YLL004W	ORC3	Origin Recognition Complex	NA
YPR162C	ORC4	Origin Recognition Complex	NA
YNL261W	ORC5	Origin Recognition Complex	NA
YHR118C	ORC6	Origin Recognition Complex	NA
YGR038W	ORM1		NA
YLR350W	ORM2		NA
YOR130C	ORT1	ORnithine Transporter	Yeast7.6
YDL019C	OSH2	OxySterol binding protein Homolog	NA
YHR073W	OSH3	OxySterol binding protein Homolog	NA
YKR003W	OSH6	OxySterol binding protein Homolog	NA
YHR001W	OSH7	OxySterol binding protein Homolog	NA
YJR051W	OSM1	OSMotic sensitivity	NA
YJL002C	OST1	OligoSaccharylTransferase	NA
YOR103C	OST2	OligoSaccharylTransferase	NA
YOR085W	OST3	OligoSaccharylTransferase	NA
YDL232W	OST4	OligoSaccharylTransferase	NA
YGL226C-A	OST5	OligoSaccharylTransferase	NA
YML019W	OST6	OligoSaccharylTransferase	NA
YOR255W	OSW1	Outer Spore Wall	NA
YLR054C	OSW2	Outer Spore Wall	NA
YMR148W	OSW5	Outer Spore Wall	NA
YFR039C	OSW7	Outer Spore Wall	NA
YFL044C	OTU1	Ovarian TUmor	NA
YHL013C	OTU2	member of the Ovarian TUmor family	NA
YER154W	OXA1	cytochrome OXidase Activity	NA
YKL215C	OXP1	OXoProlinase	NA
YPL196W	OXR1	OXidation Resistance	NA
YHR179W	OYE2	Old Yellow Enzyme	NA
YPL171C	OYE3	Old Yellow Enzyme	NA
YDR071C	PAA1	PolyAmine Acetyltransferase	NA
YER165W	PAB1	Poly(A) Binding protein	NA
YOR269W	PAC1	Perish in the Absence of Cin8p	NA
YGR078C	PAC10	Perish in the Absence of Cin8p	NA
YDR488C	PAC11	Perish in the Absence of CIN8	NA
YER007W	PAC2	Perish in the Absence of Cin8p	NA
YDR538W	PAD1	Phenylacrylic Acid Decarboxylase	NA
YBR279W	PAF1	RNA Polymerase II Associated Factor	NA
YMR165C	PAH1	Phosphatidic Acid phosphoHydrolase	Yeast7.6
YMR174C	PAI3	Proteinase A Inhibitor	NA
YDR348C	PAL1	Pears And Lemons	NA
YDR251W	PAM1	Pp2A Multicopy suppressor	NA
YJL104W	PAM16	Presequence translocase-Associated Motor	NA
YKR065C	PAM17	Presequence translocase-Associated Motor	NA
YLR008C	PAM18	Presequence translocase-Associated Motor	NA
YIR006C	PAN1	Poly(A)-binding protein-dependent poly(A) riboNuclease	NA
YGL094C	PAN2	Poly(A)-binding protein-dependent poly(A) riboNuclease	NA
YKL025C	PAN3	Poly(A) Nuclease	NA
YHR063C	PAN5	PANtothenate biosynthesis	Yeast7.6
YIL145C	PAN6	PANtothenate biosynthesis	Yeast7.6
YKR002W	PAP1	Poly(A) Polymerase	NA
YOL115W	PAP2	Poly(A) Polymerase	NA
YDL173W	PAR32	Phosphorylated After Rapamycin	NA
YCR077C	PAT1	Protein Associated with Topoisomerase II	NA
YJL223C	PAU1	seriPAUperin family	NA
YDR542W	PAU10	seriPAUperin	NA
YGL261C	PAU11	seriPAUperin	NA
YGR294W	PAU12	seriPAUperin	NA
YHL046C	PAU13	seriPAUperin	NA
YIL176C	PAU14	seriPAUperin	NA
YIR041W	PAU15	seriPAUperin	NA
YKL224C	PAU16	seriPAUperin	NA
YLL025W	PAU17	seriPAUperin	NA
YLL064C	PAU18	seriPAUperin	NA
YMR325W	PAU19	seriPAUperin	NA
YEL049W	PAU2	seriPAUperin family	NA
YOL161C	PAU20	seriPAUperin	NA
YOR394W	PAU21	seriPAUperin	NA
YPL282C	PAU22	seriPAUperin	NA
YLR037C	PAU23	seriPAUperin family	NA
YBR301W	PAU24	seriPAUperin family	NA
YCR104W	PAU3	seriPAUperin family	NA
YLR461W	PAU4	seriPAUperin family	NA
YFL020C	PAU5	seriPAUperin family	NA
YNR076W	PAU6	seriPAUperin family	NA
YAR020C	PAU7	seriPAUperin family	NA
YAL068C	PAU8	seriPAUperin	NA
YBL108C-A	PAU9	seriPAUperin	NA
YLR199C	PBA1	Proteasome Biogenesis-Associated	NA
YPL272C	PBI1	PSTB2 Interacting protein 1	NA
YNL015W	PBI2	Proteinase B Inhibitor	NA
YCL052C	PBN1	Protease B Non-derepressible	Yeast7.6
YGR178C	PBP1	Pab1p-Binding Protein	NA
YBR233W	PBP2	Pbp1p Binding Protein	NA
YDL053C	PBP4	Pbp1p Binding Protein	NA
YNL181W	PBR1	Potentiates Bioactive compound Response	NA
YJL128C	PBS2	Polymyxin B Sensitivity	NA
YBR094W	PBY1	P-BodY associated protein	NA
YBR295W	PCA1	P-type Cation-transporting ATPase	NA
YKR095W-A	PCC1	Polarized growth Chromatin-associated Controller	NA
YLR151C	PCD1	Peroxisomal Coenzyme A Diphosphatase	NA
YDR228C	PCF11	Protein 1 of Cleavage and polyadenylation Factor I	NA
YBR186W	PCH2	Pachytene CHeckpoint	NA
YIL071C	PCI8	Proteasome-COP9 signalosome (CSN)-eIF3	NA
YKR097W	PCK1	Phosphoenolpyruvate CarboxyKinase	Yeast7.6
YNL289W	PCL1	Pho85 CycLin	NA
YGL134W	PCL10	Pho85 CycLin	NA
YDL127W	PCL2	Pho85 CycLin	NA
YHR071W	PCL5	Pho85 CycLin	NA
YER059W	PCL6	Pho85 CycLin	NA
YIL050W	PCL7	Pho85 CycLin	NA
YPL219W	PCL8	Pho85 CycLin	NA
YDL179W	PCL9	Pho85 CycLin	NA
YEL058W	PCM1	PhosphoaCetylglucosamine Mutase	Yeast7.6
YGR101W	PCP1	Processing of Cytochrome c Peroxidase	NA
YBR222C	PCS60	Peroxisomal CoA-dependent Synthetase	NA
YGR202C	PCT1	Phosphocholine CytidylylTransferase	Yeast7.6
YER178W	PDA1	Pyruvate Dehydrogenase Alpha	Yeast7.6
YBR221C	PDB1	Pyruvate Dehydrogenase Beta subunit	Yeast7.6
YLR044C	PDC1	Pyruvate DeCarboxylase	Yeast7.6
YDR081C	PDC2	Pyruvate DeCarboxylase	NA
YLR134W	PDC5	Pyruvate DeCarboxylase	Yeast7.6
YGR087C	PDC6	Pyruvate DeCarboxylase	Yeast7.6
YGL248W	PDE1	PhosphoDiEsterase	Yeast7.6
YOR360C	PDE2	PhosphoDiEsterase	Yeast7.6
YPR002W	PDH1	prpD Homolog	Yeast7.6
YCL043C	PDI1	Protein Disulfide Isomerase	NA
YLR455W	PDP3	PWWP Domain-containing Protein	NA
YGL013C	PDR1	Pleiotropic Drug Resistance	NA
YOR328W	PDR10	Pleiotropic Drug Resistance	NA
YIL013C	PDR11	Pleiotropic Drug Resistance	Yeast7.6
YPL058C	PDR12	Pleiotropic Drug Resistance	NA
YDR406W	PDR15	Pleiotropic Drug Resistance	NA
YNL231C	PDR16	Pleiotropic Drug Resistance	NA
YNL264C	PDR17	Pleiotropic Drug Resistance	NA
YNR070W	PDR18	Pleiotropic Drug Resistance	NA
YBL005W	PDR3	Pleiotropic Drug Resistance	NA
YOR153W	PDR5	Pleiotropic Drug Resistance	NA
YLR266C	PDR8	Pleiotropic Drug Resistance	NA
YDR113C	PDS1	Precocious Dissociation of Sisters	NA
YMR076C	PDS5	Precocious Dissociation of Sisters	NA
YGR193C	PDX1	Pyruvate Dehydrogenase complex protein X	Yeast7.6
YBR035C	PDX3	PyriDoXine auxotrophy	Yeast7.6
YER149C	PEA2	PEAnut shmoo mutant	NA
YGR058W	PEF1	Penta-EF-Hand protein	NA
YBL017C	PEP1	carboxyPEPtidase Y-deficient	NA
YOR036W	PEP12	carboxyPEPtidase Y-deficient	NA
YLR148W	PEP3	carboxyPEPtidase Y-deficient	NA
YPL154C	PEP4	carboxyPEPtidase Y-deficient	NA
YMR231W	PEP5	carboxyPEPtidase Y-deficient	NA
YDR323C	PEP7	carboxyPEPtidase Y-deficient	NA
YJL053W	PEP8	carboxyPEPtidase Y-deficient	NA
YCR044C	PER1	protein Processing in the ER	NA
YLR064W	PER33	"Pore and ER protein, 33 kDa"	NA
YFR023W	PES4	Polymerase Epsilon Suppressor	NA
YKR046C	PET10	PETite colonies	NA
YDR079W	PET100	PETite colonies	NA
YMR257C	PET111	PETite colonies	NA
YBL080C	PET112	PETite colonies	NA
YER058W	PET117	PETite colonies	NA
YER153C	PET122	PETite colonies	NA
YOR158W	PET123	PETite colonies	NA
YOR017W	PET127	PETite colonies	NA
YJL023C	PET130	PETite colonies	NA
YCR020C	PET18	PETite colonies	NA
YJR034W	PET191	PETite colonies	NA
YPL159C	PET20	PETite colonies	NA
YLR067C	PET309	PETite colonies	NA
YNR045W	PET494	PETite colonies	NA
YGR222W	PET54	PETite colonies	NA
YNL003C	PET8	PETite colonies	Yeast7.6
YBL030C	PET9	PETite	Yeast7.6
YKL197C	PEX1	PEroXin	NA
YDR265W	PEX10	PEroXin	NA
YOL147C	PEX11	PEroXin	NA
YMR026C	PEX12	PEroXin	NA
YLR191W	PEX13	PEroXin	NA
YGL153W	PEX14	PEroXisome related	NA
YOL044W	PEX15	PEroXisome related	NA
YNL214W	PEX17	PEroXisome related	NA
YHR160C	PEX18	PEroXin	NA
YDL065C	PEX19	PEroXisome related	NA
YJL210W	PEX2	PEroXin	NA
YGR239C	PEX21	PEroXin	NA
YAL055W	PEX22	PEroXisome related	NA
YPL112C	PEX25	PEroXisome related	NA
YOR193W	PEX27	PEroXisome related	NA
YHR150W	PEX28	PEroXisome related	NA
YDR479C	PEX29	PEroXisome related	NA
YDR329C	PEX3	PEroXin	NA
YLR324W	PEX30	PEroXisome related	NA
YGR004W	PEX31	PEroXisome related	NA
YBR168W	PEX32	PEroXisome related	NA
YCL056C	PEX34	PEroXin	NA
YGR133W	PEX4	PEroXin	NA
YDR244W	PEX5	PEroXin	NA
YNL329C	PEX6	PEroXin	NA
YDR142C	PEX7	PEroXin	NA
YGR077C	PEX8	PEroXin	NA
YMR018W	PEX9	PEroXin	NA
YNL326C	PFA3	Protein Fatty Acyltransferase	NA
YOL003C	PFA4	Protein Fatty Acyltransferase	NA
YDR459C	PFA5	Protein Fatty Acyltransferase	NA
YJL179W	PFD1	PreFolDin	NA
YBR074W	PFF1	Protease in FXNA-related Family	NA
YGR240C	PFK1	PhosphoFructoKinase	Yeast7.6
YMR205C	PFK2	PhosphoFructoKinase	Yeast7.6
YIL107C	PFK26	6-PhosphoFructo-2-Kinase	Yeast7.6
YOL136C	PFK27	6-PhosphoFructo-2-Kinase	Yeast7.6
YHR185C	PFS1	Prospore Formation at Spindles	NA
YNL317W	PFS2	Polyadenylation Factor Subunit	NA
YOR122C	PFY1	ProFilin of Yeast	NA
YNL158W	PGA1	Processing of Gas1p and ALP	NA
YNL149C	PGA2	Processing of Gas1p and ALP	NA
YML125C	PGA3	Processing of Gas1p and ALP	NA
YPL206C	PGC1	Phosphatidyl Glycerol phospholipase C	Yeast7.6
YGL025C	PGD1	PolyGlutamine Domain	NA
YBR196C	PGI1	PhosphoGlucoIsomerase	Yeast7.6
YCR012W	PGK1	3-PhosphoGlycerate Kinase	Yeast7.6
YKL127W	PGM1	PhosphoGlucoMutase	Yeast7.6
YMR105C	PGM2	PhosphoGlucoMutase	Yeast7.6
YCL004W	PGS1	PhosphatidylGlycerolphosphate Synthase	Yeast7.6
YJR153W	PGU1	PolyGalactUronase	Yeast7.6
YNL316C	PHA2	PHenylAlanine requiring	Yeast7.6
YGR132C	PHB1	ProHiBitin	NA
YGR231C	PHB2	ProHiBitin	NA
YKL043W	PHD1	PseudoHyphal Determinant	NA
YDR281C	PHM6	PHosphate Metabolism	NA
YOL084W	PHM7	PHosphate Metabolism	NA
YER037W	PHM8	PHosphate Metabolism	Yeast7.6
YAR071W	PHO11	PHOsphate metabolism	Yeast7.6
YHR215W	PHO12	PHOsphate metabolism	NA
YDL236W	PHO13	PHOsphate metabolism	NA
YDL106C	PHO2	PHOsphate metabolism	NA
YNL097C	PHO23	PHOsphate metabolism	NA
YBR092C	PHO3	PHOsphate metabolism	Yeast7.6
YFR034C	PHO4	PHOsphate metabolism	NA
YBR093C	PHO5	PHOsphate metabolism	Yeast7.6
YDR481C	PHO8	PHOsphate metabolism	Yeast7.6
YOL001W	PHO80	PHOsphate metabolism	NA
YGR233C	PHO81	PHOsphate metabolism	NA
YML123C	PHO84	PHOsphate metabolism	Yeast7.6
YPL031C	PHO85	PHOsphate metabolism	NA
YJL117W	PHO86	PHOsphate metabolism	NA
YCR037C	PHO87	PHOsphate metabolism	Yeast7.6
YBR106W	PHO88	PHOsphate metabolism	NA
YBR296C	PHO89	PHOsphate metabolism	Yeast7.6
YJL198W	PHO90	PHOsphate metabolism	Yeast7.6
YNR013C	PHO91	PHOsphate metabolism	Yeast7.6
YDR374C	PHO92	PHOsphate metabolism	NA
YOR386W	PHR1	PHotoreactivation Repair deficient	NA
YJL097W	PHS1	PTPLA Homolog involved in Sphingolipid biosynthesis 1	Yeast7.6
YDR313C	PIB1	PhosphatidylInositol(3)-phosphate Binding	NA
YGL023C	PIB2	PhosphatidylInositol(3)-phosphate Binding	NA
YER053C	PIC2	PI Carrier	Yeast7.6
YML061C	PIF1	Petite Integration Frequency	NA
YLR273C	PIG1	Protein Interacting with Gsy2p	NA
YIL045W	PIG2	Protein Interacting with Gsy2p	NA
YHR034C	PIH1	Protein Interacting with Hsp90	NA
YNL267W	PIK1	Phosphatidyl Inositol Kinase	Yeast7.6
YGR086C	PIL1	Phosphorylation Inhibited by Long chain bases	NA
YBL022C	PIM1	Proteolysis In Mitochondria	NA
YOR104W	PIN2	Psi+ INducibility	NA
YPR154W	PIN3	Psi+ INducibility	NA
YBL051C	PIN4	Psi+ INducibility	NA
YOR363C	PIP2	Peroxisome Induction Pathway	NA
YKL164C	PIR1	Protein containing Internal Repeats	NA
YKL163W	PIR3	Protein containing Internal Repeats	NA
YJL160C	PIR5	Protein with Internal Repeats	NA
YPR113W	PIS1	Phosphatidyl Inositol Synthase	Yeast7.6
YBL105C	PKC1	Protein Kinase C	NA
YDR490C	PKH1	Pkb-activating Kinase Homolog	NA
YOL100W	PKH2	Pkb-activating Kinase Homolog	NA
YDR466W	PKH3	Pkb-activating Kinase Homolog	NA
YIL042C	PKP1	Protein Kinase of PDH	NA
YGL059W	PKP2	Protein Kinase of PDH	NA
YMR123W	PKR1	Pichia farinosa Killer toxin Resistance	NA
YMR008C	PLB1	PhosphoLipase B	Yeast7.6
YMR006C	PLB2	PhosphoLipase B	Yeast7.6
YOL011W	PLB3	PhosphoLipase B	Yeast7.6
YPL268W	PLC1	PhosphoLipase C	Yeast7.6
YDR501W	PLM2	PLasmid Maintenance	NA
YDR183W	PLP1	Phosducin-Like Protein	NA
YOR281C	PLP2	Phosducin-Like Protein	NA
YGL008C	PMA1	Plasma Membrane ATPase	Yeast7.6
YPL036W	PMA2	Plasma Membrane ATPase	Yeast7.6
YGL006W	PMC1	Plasma Membrane Calcium	NA
YER132C	PMD1	Paralog of MDS3	NA
YER003C	PMI40	PhosphoMannose Isomerase	Yeast7.6
YLR016C	PML1	Pre-mRNA Leakage	NA
YML107C	PML39	Pre-mRNA Leakage	NA
YCR024C-A	PMP1	Plasma Membrane Proteolipid	Yeast7.6
YEL017C-A	PMP2	Plasma Membrane Proteolipid	Yeast7.6
YDR276C	PMP3	Plasma Membrane Proteolipid	NA
YGL167C	PMR1	Plasma Membrane ATPase Related	NA
YNL082W	PMS1	PostMeiotic Segregation	NA
YDL095W	PMT1	Protein O-MannosylTransferase	Yeast7.6
YAL023C	PMT2	Protein O-MannosylTransferase	Yeast7.6
YOR321W	PMT3	Protein O-MannosylTransferase	Yeast7.6
YJR143C	PMT4	Protein O-MannosylTransferase	Yeast7.6
YDL093W	PMT5	Protein O-MannosylTransferase	Yeast7.6
YGR199W	PMT6	Protein O-MannosylTransferase	NA
YDR307W	PMT7		NA
YKL128C	PMU1	PhosphoMUtase	NA
YGL037C	PNC1	Pyrazinamidase and NiCotinamidase	Yeast7.6
YPL096W	PNG1	Peptide N-Glycanase	NA
YOR145C	PNO1	Partner of NOb1	NA
YLR209C	PNP1	purine nucleoside phosphorylase	Yeast7.6
YOR161C	PNS1	pH Nine Sensitive	NA
YOR266W	PNT1	PeNTamidine resistance	NA
YBR022W	POA1	"Phosphatase Of ADP-ribose 1""-phosphate"	NA
YML069W	POB3	POl1 Binding	NA
YPL144W	POC4	PrOteasome Chaperone	NA
YCL047C	POF1	Promoter Of Filamentation	NA
YIL122W	POG1	Promoter Of Growth	NA
YNL102W	POL1	POLymerase	NA
YBL035C	POL12	POLymerase	NA
YNL262W	POL2	POLymerase	NA
YDL102W	POL3	POLymerase	NA
YBR088C	POL30	POLymerase	NA
YJR006W	POL31	POLymerase	NA
YJR043C	POL32	POLymerase	NA
YCR014C	POL4	POLymerase	NA
YEL055C	POL5	POLymerase	NA
YMR129W	POM152	POre Membrane	NA
YLL023C	POM33	"POre Membrane, 33 kDa"	NA
YLR018C	POM34	POre Membrane	NA
YNL221C	POP1	Processing Of Precursor RNAs	NA
YNR052C	POP2	PGK promoter directed OverProduction	NA
YNL282W	POP3	Processing Of Precursor RNAs	NA
YBR257W	POP4	Processing Of Precursor RNAs	NA
YAL033W	POP5	Processing Of Precursor RNAs	NA
YGR030C	POP6	Processing Of Precursor RNAs	NA
YBR167C	POP7	Processing Of Precursor RNAs	NA
YBL018C	POP8	Processing Of Precursor RNAs	NA
YNL055C	POR1	PORin	NA
YIL114C	POR2	PORin	NA
YPL188W	POS5	PerOxide Sensitive	Yeast7.6
YIL160C	POT1	Peroxisomal Oxoacyl Thiolase	Yeast7.6
YGL205W	POX1		Yeast7.6
YMR267W	PPA2	PyroPhosphatAse	Yeast7.6
YHR075C	PPE1	Phosphoprotein Phosphatase methylEsterase	NA
YNR032W	PPG1	Protein Phosphatase involved in Glycogen accumulation	NA
YDL134C	PPH21	Protein PHosphatase	NA
YDL188C	PPH22	Protein PHosphatase	NA
YDR075W	PPH3	Protein PHosphatase	NA
YDR435C	PPM1	Protein Phosphatase Methyltransferase	NA
YOL141W	PPM2	Protein Phosphatase Methyltransferase	NA
YDR452W	PPN1		NA
YPL179W	PPQ1	Protein Phosphatase Q	NA
YLR014C	PPR1	Pyrimidine Pathway Regulation	NA
YBR276C	PPS1	Protein Phosphatase S phase	NA
YGR123C	PPT1	Protein Phosphatase T	NA
YPL148C	PPT2	Phosphopantetheine:Protein Transferase	Yeast7.6
YHR201C	PPX1		NA
YML016C	PPZ1	Protein Phosphatase Z	NA
YDR436W	PPZ2	Protein Phosphatase Z	NA
YEL060C	PRB1	PRoteinase B	NA
YMR297W	PRC1	PRoteinase C	NA
YCL057W	PRD1	PRoteinase yscD	NA
YER012W	PRE1	PRoteinase yscE	NA
YOR362C	PRE10	PRoteinase yscE	NA
YPR103W	PRE2	PRoteinase yscE	NA
YJL001W	PRE3	PRoteinase yscE	NA
YFR050C	PRE4	PRoteinase yscE	NA
YMR314W	PRE5	PRoteinase yscE	NA
YOL038W	PRE6	PRoteinase yscE	NA
YBL041W	PRE7	PRoteinase yscE	NA
YML092C	PRE8	PRoteinase yscE	NA
YGR135W	PRE9	PRoteinase yscE	NA
YIR008C	PRI1	DNA PRImase	NA
YKL045W	PRI2	DNA PRImase	NA
YIL095W	PRK1	p53 Regulatory Kinase	NA
YNL279W	PRM1	Pheromone-Regulated Membrane protein	NA
YJL108C	PRM10	Pheromone-Regulated Membrane protein	NA
YMR278W	PRM15	Phospho Ribo Mutase	Yeast7.6
YIL037C	PRM2	Pheromone-Regulated Membrane protein	NA
YPL192C	PRM3	Pheromone-Regulated Membrane protein	NA
YPL156C	PRM4	Pheromone-Regulated Membrane protein	NA
YIL117C	PRM5	Pheromone-Regulated Membrane protein	NA
YML047C	PRM6	Pheromone-Regulated Membrane protein	NA
YDL039C	PRM7	Pheromone-Regulated Membrane protein	NA
YGL053W	PRM8	Pheromone-Regulated Membrane protein	NA
YAR031W	PRM9	Pheromone-Regulated Membrane protein	NA
YDR300C	PRO1	PROline requiring	Yeast7.6
YOR323C	PRO2	PROline requiring	Yeast7.6
YER023W	PRO3	PROline requiring	Yeast7.6
YDL043C	PRP11	Pre-mRNA Processing	NA
YKR086W	PRP16	Pre-mRNA Processing	NA
YGR006W	PRP18	Pre-mRNA Processing	NA
YLL036C	PRP19	Pre-RNA Processing	NA
YNR011C	PRP2	Pre-mRNA Processing	NA
YJL203W	PRP21	Pre-mRNA Processing	NA
YER013W	PRP22	Pre-mRNA Processing	NA
YMR268C	PRP24	Pre-mRNA Processing	NA
YDR243C	PRP28	Pre-mRNA Processing	NA
YDR473C	PRP3	Pre-mRNA Processing	NA
YGR091W	PRP31	Pre-mRNA Processing	NA
YGR075C	PRP38	Pre-mRNA Processing	NA
YML046W	PRP39	Pre-mRNA Processing	NA
YPR178W	PRP4	Pre-mRNA Processing	NA
YKL012W	PRP40	Pre-mRNA Processing	NA
YDR235W	PRP42	Pre-mRNA Processing	NA
YGL120C	PRP43	Pre-mRNA Processing	NA
YAL032C	PRP45	Pre-mRNA Processing	NA
YPL151C	PRP46	Pre-mRNA Processing	NA
YBR237W	PRP5	Pre-mRNA Processing	NA
YBR055C	PRP6	Pre-mRNA Processing	NA
YHR165C	PRP8	Pre-mRNA Processing	NA
YDL030W	PRP9	Pre-mRNA Processing	NA
YKL116C	PRR1	Pheromone Response Regulator	NA
YDL214C	PRR2	Pheromone Response Regulator	NA
YKL181W	PRS1	PhosphoRibosylpyrophosphate Synthetase	Yeast7.6
YER099C	PRS2	PhosphoRibosylpyrophosphate Synthetase	Yeast7.6
YHL011C	PRS3	PhosphoRibosylpyrophosphate Synthetase	Yeast7.6
YBL068W	PRS4	PhosphoRibosylpyrophosphate Synthetase	Yeast7.6
YOL061W	PRS5	PhosphoRibosylpyrophosphate Synthetase	Yeast7.6
YOR361C	PRT1	PRoTein synthesis	NA
YBL064C	PRX1	PeroxiRedoXin	Yeast7.6
YJL079C	PRY1	Pathogen Related in Yeast	NA
YKR013W	PRY2	Pathogen Related in Yeast	NA
YJL078C	PRY3	Pathogen Related in Yeast	NA
YDL055C	PSA1		Yeast7.6
YNL169C	PSD1	PhosphatidylSerine Decarboxylase	Yeast7.6
YGR170W	PSD2	PhosphatidylSerine Decarboxylase	Yeast7.6
YMR308C	PSE1	Protein Secretion Enhancer	NA
YDR013W	PSF1	Partner of Sld Five	NA
YJL072C	PSF2	Partner of Sld Five	NA
YOL146W	PSF3	Partner of Sld Five	NA
YOL054W	PSH1	Pob3/Spt16 Histone associated	NA
YAL017W	PSK1	Pas domain-containing Serine/threonine protein Kinase	NA
YOL045W	PSK2	Pas domain-containing Serine/threonine protein Kinase	NA
YMR137C	PSO2	PSOralen derivative sensitive	NA
YDR505C	PSP1	Polymerase SuPpressor	NA
YML017W	PSP2	Polymerase SuPpressor	NA
YLL010C	PSR1	Plasma membrane Sodium Response	NA
YLR019W	PSR2	Plasma membrane Sodium Response	NA
YDR055W	PST1	Protoplasts-SecreTed	NA
YDR032C	PST2	Protoplasts-SecreTed	NA
YKL076C	PSY1	Platinum SensitivitY	NA
YNL201C	PSY2	Platinum SensitivitY	NA
YLR376C	PSY3	Platinum SensitivitY	NA
YBL046W	PSY4	Platinum SensitivitY	NA
YAL043C	PTA1	Pre-Trna Accumulation	NA
YDL006W	PTC1	Phosphatase type Two C	NA
YER089C	PTC2	Phosphatase Two C	NA
YBL056W	PTC3	Phosphatase Two C	NA
YBR125C	PTC4	Phosphatase Two C	NA
YOR090C	PTC5	Phosphatase Two C	NA
YCR079W	PTC6	Phosphatase Two C	NA
YHR076W	PTC7	Phosphatase type Two C	NA
YHR189W	PTH1	Peptidyl-Trna Hydrolase	NA
YBL057C	PTH2	Peptidyl-Trna Hydrolase	NA
YOL114C	PTH4	peptidyl tRNA hydrolase 4	NA
YGR156W	PTI1	PTa1p Interacting protein	NA
YKL198C	PTK1	Putative serine/Threonine protein Kinase	NA
YJR059W	PTK2	Putative serine/Threonine protein Kinase	NA
YKL039W	PTM1		NA
YDL230W	PTP1	Protein Tyrosine Phosphatase	NA
YOR208W	PTP2	Protein Tyrosine Phosphatase	NA
YER075C	PTP3	Protein Tyrosine Phosphatase	NA
YKR093W	PTR2	Peptide TRansport	NA
YFR029W	PTR3	Peptide TRansport	NA
YNL016W	PUB1	PolyUridylate Binding	NA
YPR042C	PUF2	PUmilio-homology domain Family	NA
YLL013C	PUF3	PUmilio-homology domain Family	NA
YGL014W	PUF4	PUmilio-homology domain Family	NA
YDR496C	PUF6	PUmilio-homology domain Family	NA
YER185W	PUG1	Protoporphyrin Uptake Gene	NA
YLR414C	PUN1	Plasma membrane protein Upregulated during Nitrogen stress	NA
YOR157C	PUP1	PUtative Proteasome subunit	NA
YGR253C	PUP2	PUtative Proteasome subunit	NA
YER094C	PUP3	PUtative Proteasome subunit	NA
